nama_siswa,alamat_siswa,nilai_rapor,nilai_ujian_sekolah,nilai_ujian_nasional,aktivitas_ekstrakurikuler,prestasi_olimpiade,minat_jurusan,sekolah_asal,lokasi,sekolah_sma
Deborah Solis,"5889 Schultz Lake Apt. 679
Port Barbara, TN 69048",10,83,60,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Gregory Walton,"2316 Carr Shoals
Smithland, OH 59593",9,73,72,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Erin Williams,"49094 Alexander Squares Apt. 466
East Waynebury, LA 48312",8,97,96,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Melvin Montgomery,"7786 Mckee Oval
Brianborough, MH 65002",8,98,96,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
George Lopez,"9997 Tricia Forest
Lake Staceystad, DE 22082",8,75,74,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Cory Foster,"632 John Highway Suite 107
New Ronaldshire, NC 13762",7,93,79,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Kimberly Hogan,"04590 Patricia Mountain
Dustinshire, MS 74396",9,86,85,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Nicholas Jackson,"2577 Anna Bridge Suite 803
East Martin, NH 26629",8,100,83,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Adam Underwood,"512 Ortega Station Suite 067
North Abigailbury, NV 36912",7,87,68,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Samantha Vasquez,"694 Lee Shoal Apt. 980
Shawnborough, WV 87228",9,84,60,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Tracy Carter,"47917 Gabriella Inlet Suite 553
Johnfort, OH 86323",9,84,71,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Lisa Massey,"7626 Castro Alley Apt. 299
Haneytown, MI 04297",10,91,68,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Eric Wright,"261 Jennifer Mills
Velasquezborough, VT 03180",7,89,99,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Ian Lozano,"044 Brittany Haven Apt. 828
Crawfordberg, PR 41839",10,96,100,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Carrie Pruitt,"54077 Martin Cliff Suite 014
Cassandrastad, WY 29357",9,78,77,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Amanda Frost,"106 Dominguez Square
Hopkinsside, PW 39461",8,94,69,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Haley Morris,"609 Whitney Stravenue
Port Rebecca, DC 31579",10,80,99,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Troy Anderson,"767 Jones Junction Suite 120
Christopherhaven, MP 50335",7,94,77,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Edward Adams,"4273 Robert Street Apt. 544
Johnland, AR 31250",8,81,84,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Dawn White,"90340 Dylan Pass
Stewartmouth, NV 73051",8,86,81,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
David Estrada,"8499 Smith Ville
Martinezview, NJ 31969",9,71,93,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Danielle Bowman,"95105 Carroll Mount Apt. 864
South Franklin, AK 12119",8,91,74,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Michael Stephenson,"67926 Stephen Trail
Ruizmouth, GA 76765",8,83,94,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Julia Carter,"7709 Jason Circle
Matthewfort, SD 04757",8,98,76,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Maria Brock,"8530 Alexander Ferry
Martinezburgh, NC 04395",9,92,61,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Billy Steele,"1603 Norton Springs
West Ashley, IL 35399",9,93,82,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Brandy Kennedy,"82189 Kenneth Forges Apt. 623
Alexandertown, MT 69768",8,95,76,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Laura Weiss,"1826 Mendez Plains
East Kimberlyland, GA 26047",8,94,63,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Brandon Cervantes,"7905 Ashley Fork Suite 457
Thomasburgh, CT 30873",7,97,63,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Jennifer Perry,"73137 Ramirez Ramp Suite 668
Williamsmouth, HI 75716",9,84,87,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Jessica Juarez,"3194 Brenda Prairie
Port Connie, AS 03794",7,73,70,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
